game_id,game_name
611,SNK Heroines: Tag Team Frenzy
611,SNK Heroines: Tag Team Frenzy
524,Soccer Stars
524,Soccer Stars
197,Soul Calibur II
197,Soul Calibur II
340,Soul Calibur II HD Online
340,Soul Calibur II HD Online
198,Soul Calibur IV
198,Soul Calibur IV
240,Soul Calibur V
240,Soul Calibur V
568,Soul Calibur VI
568,Soul Calibur VI
788,Space Junkies
788,Space Junkies
485,Special Force
485,Special Force
690,Speedrunners
690,Speedrunners
708,Spellbreak
708,Spellbreak
415,Splatoon
415,Splatoon
509,Splatoon 2
509,Splatoon 2
582,Splitgate: Arena Warfare
582,Splitgate: Arena Warfare
789,Sprint Vector
789,Sprint Vector
349,Star Wars Jedi Knight II: Jedi Outcast
349,Star Wars Jedi Knight II: Jedi Outcast
716,Star Wars: Squadrons
716,Star Wars: Squadrons
151,StarCraft II
151,StarCraft II
152,StarCraft: Brood War
152,StarCraft: Brood War
868,StarCraft: Evo Complete (Mod)
868,StarCraft: Evo Complete (Mod)
762,StarCraft: Remastered
762,StarCraft: Remastered
705,Stardew Valley
705,Stardew Valley
835,Stick Fight the Game
835,Stick Fight the Game
859,Stormgate
859,Stormgate
837,Street Fighter 6
837,Street Fighter 6
385,Street Fighter Alpha 2
385,Street Fighter Alpha 2
353,Street Fighter Alpha 3
353,Street Fighter Alpha 3
584,Street Fighter EX2 Plus
584,Street Fighter EX2 Plus
167,Street Fighter III: 3rd Strike
167,Street Fighter III: 3rd Strike
206,Street Fighter IV
206,Street Fighter IV
434,Street Fighter V
434,Street Fighter V
536,Street Fighter V: Arcade Edition
536,Street Fighter V: Arcade Edition
642,Street Fighter V: Champion Edition
